field_1,X,Y
"18309",4.964,52.28
"18310",4.978,52.279
"18311",4.992,52.279
"18312",5.006,52.278
"18313",5.02,52.277
"18314",5.034,52.276
"18315",5.048,52.276
"18316",5.062,52.275
"18317",5.076,52.274
"18318",5.09,52.273
"18319",5.104,52.273
"18457",4.654,52.287
"18458",4.668,52.287
"18459",4.682,52.286
"18460",4.696,52.285
"18461",4.71,52.285
"18462",4.725,52.284
"18463",4.739,52.283
"18464",4.753,52.282
"18465",4.767,52.282
"18466",4.781,52.281
"18467",4.795,52.28
"18468",4.809,52.28
"18469",4.823,52.279
"18470",4.837,52.278
"18471",4.851,52.277
"18472",4.865,52.277
"18473",4.879,52.276
"18474",4.893,52.275
"18475",4.907,52.274
"18476",4.921,52.274
"18477",4.935,52.273
"18478",4.949,52.272
"18479",4.963,52.272
"18480",4.977,52.271
"18481",4.991,52.27
"18482",5.005,52.269
"18483",5.019,52.269
"18484",5.033,52.268
"18485",5.047,52.267
"18486",5.061,52.266
"18487",5.075,52.265
"18488",5.089,52.265
"18489",5.103,52.264
"18630",4.653,52.279
"18631",4.667,52.278
"18632",4.681,52.277
"18633",4.695,52.277
"18634",4.709,52.276
"18635",4.723,52.275
"18636",4.737,52.275
"18637",4.751,52.274
"18638",4.765,52.273
"18639",4.779,52.272
"18640",4.793,52.272
"18641",4.807,52.271
"18642",4.821,52.27
"18643",4.835,52.27
"18644",4.849,52.269
"18645",4.863,52.268
"18646",4.877,52.267
"18647",4.891,52.267
"18648",4.905,52.266
"18649",4.92,52.265
"18650",4.934,52.264
"18651",4.948,52.264
"18652",4.962,52.263
"18653",4.976,52.262
"18654",4.99,52.261
"18655",5.004,52.261
"18656",5.018,52.26
"18657",5.032,52.259
"18658",5.046,52.258
"18659",5.06,52.258
"18660",5.074,52.257
"18661",5.088,52.256
"18662",5.102,52.255
"18804",4.652,52.27
"18805",4.666,52.27
"18806",4.68,52.269
"18807",4.694,52.268
"18808",4.708,52.267
"18809",4.722,52.267
"18810",4.736,52.266
"18811",4.75,52.265
"18812",4.764,52.265
"18813",4.778,52.264
"18814",4.792,52.263
"18815",4.806,52.262
"18816",4.82,52.262
"18817",4.834,52.261
"18818",4.848,52.26
"18819",4.862,52.26
"18820",4.876,52.259
"18821",4.89,52.258
"18822",4.904,52.257
"18823",4.918,52.257
"18824",4.932,52.256
"18825",4.946,52.255
"18826",4.96,52.254
"18827",4.974,52.254
"18828",4.988,52.253
"18829",5.002,52.252
"18830",5.016,52.251
"18831",5.03,52.251
"18832",5.044,52.25
"18833",5.058,52.249
"18834",5.072,52.248
"18835",5.086,52.248
"18836",5.1,52.247
"18978",4.651,52.262
"18979",4.665,52.261
"18980",4.679,52.26
"18981",4.693,52.26
"18982",4.707,52.259
"18983",4.721,52.258
"18984",4.735,52.257
"18985",4.749,52.257
"18986",4.763,52.256
"18987",4.777,52.255
"18988",4.791,52.255
"18989",4.805,52.254
"18990",4.819,52.253
"18991",4.833,52.252
"18992",4.847,52.252
"18993",4.861,52.251
"18994",4.875,52.25
"18995",4.889,52.249
"18996",4.903,52.249
"18997",4.917,52.248
"18998",4.931,52.247
"18999",4.945,52.246
"19000",4.959,52.246
"19001",4.973,52.245
"19002",4.987,52.244
"19003",5.001,52.244
"19004",5.015,52.243
"19005",5.029,52.242
"19006",5.043,52.241
"19007",5.057,52.24
"19008",5.071,52.24
"19009",5.085,52.239
"19010",5.099,52.238
"19011",5.113,52.237
"19151",4.65,52.253
"19152",4.664,52.252
"19153",4.678,52.252
"19154",4.692,52.251
"19155",4.706,52.25
"19156",4.72,52.25
"19157",4.734,52.249
"19158",4.748,52.248
"19159",4.762,52.247
"19160",4.776,52.247
"19161",4.79,52.246
"19162",4.804,52.245
"19163",4.818,52.245
"19164",4.832,52.244
"19165",4.846,52.243
"19166",4.86,52.242
"19167",4.874,52.242
"19168",4.888,52.241
"19169",4.902,52.24
"19170",4.916,52.239
"19171",4.93,52.239
"19172",4.944,52.238
"19173",4.958,52.237
"19174",4.972,52.236
"19175",4.986,52.236
"19176",5,52.235
"19177",5.014,52.234
"19178",5.028,52.233
"19179",5.042,52.233
"19180",5.056,52.232
"19181",5.07,52.231
"19182",5.084,52.23
"19183",5.098,52.23
"19184",5.112,52.229
"19322",4.649,52.244
"19323",4.663,52.244
"19324",4.677,52.243
"19325",4.691,52.242
"19326",4.705,52.242
"19327",4.719,52.241
"19328",4.733,52.24
"19329",4.747,52.24
"19330",4.761,52.239
"19331",4.775,52.238
"19332",4.789,52.237
"19333",4.803,52.237
"19334",4.817,52.236
"19335",4.831,52.235
"19336",4.845,52.234
"19337",4.859,52.234
"19338",4.873,52.233
"19339",4.887,52.232
"19340",4.901,52.232
"19341",4.915,52.231
"19342",4.929,52.23
"19343",4.943,52.229
"19344",4.957,52.229
"19345",4.971,52.228
"19346",4.985,52.227
"19347",4.999,52.226
"19348",5.013,52.226
"19349",5.027,52.225
"19350",5.041,52.224
"19351",5.055,52.223
"19352",5.069,52.223
"19353",5.083,52.222
"19354",5.097,52.221
"19355",5.111,52.22
"19489",4.648,52.236
"19490",4.662,52.235
"19491",4.676,52.234
"19492",4.69,52.234
"19493",4.704,52.233
"19494",4.718,52.232
"19495",4.732,52.232
"19496",4.746,52.231
"19497",4.76,52.23
"19498",4.774,52.229
"19499",4.788,52.229
"19500",4.802,52.228
"19501",4.816,52.227
"19502",4.83,52.227
"19503",4.844,52.226
"19504",4.858,52.225
"19505",4.872,52.224
"19506",4.886,52.224
"19507",4.899,52.223
"19508",4.913,52.222
"19509",4.927,52.221
"19510",4.941,52.221
"19511",4.955,52.22
"19512",4.969,52.219
"19513",4.983,52.218
"19514",4.997,52.218
"19515",5.011,52.217
"19516",5.025,52.216
"19517",5.039,52.215
"19518",5.053,52.215
"19519",5.067,52.214
"19520",5.081,52.213
"19521",5.095,52.212
"19522",5.109,52.212
